Name;URL;Pattern;Difficulty;Premium;Companies
Reorganize String;https://leetcode.com/problems/reorganize-string/;Greedy,Greedy,Heap,Heap;Medium;false;Amazon,Facebook,Google,Apple,Uber,Microsoft,Microsoft
Implement Trie (Prefix Tree);https://leetcode.com/problems/implement-trie-prefix-tree/;Design,Design,Trie,Trie;Medium;false;Amazon,Twitter,Google,Facebook,Microsoft,Apple,Apple
Validate Binary Search Tree;https://leetcode.com/problems/validate-binary-search-tree/;DFS,DFS;Medium;false;Amazon,Bloomberg,Microsoft,Facebook,Google,Adobe,Apple,Qualtrics,Lyft,Lyft
Construct Binary Tree from Preorder and Inorder Traversal;https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/;DFS,DFS;Medium;false;Amazon,Microsoft,Adobe,Bloomberg,Apple,Apple
Course Schedule;https://leetcode.com/problems/course-schedule/;BFS,BFS,DFS,BFS,BFS,DFS,Graph,BFS,BFS,DFS,BFS,BFS,DFS,Graph,Topological Sort,Topological Sort;Medium;false;Amazon,Microsoft,Facebook,Google,Oracle,Apple,Snapchat,Snapchat
Course Schedule II;https://leetcode.com/problems/course-schedule-ii/;BFS,BFS,DFS,BFS,BFS,DFS,Graph,BFS,BFS,DFS,BFS,BFS,DFS,Graph,Topological Sort,Topological Sort;Medium;false;Amazon,Microsoft,Google,Facebook,Snapchat,Uber,Apple,Lyft,Bloomberg,Bloomberg
Minimum Height Trees;https://leetcode.com/problems/minimum-height-trees/;BFS,BFS,Graph,BFS,BFS,Graph,Topological Sort,Topological Sort;Medium;false;Amazon,Facebook,Google,Microsoft,Microsoft
Maximum Width of Binary Tree;https://leetcode.com/problems/maximum-width-of-binary-tree/;DFS,DFS;Medium;false;Amazon,Google,Bloomberg,Apple,Adobe,Adobe
Sequence Reconstruction;https://leetcode.com/problems/sequence-reconstruction;Graph,Graph,Topological Sort,Topological Sort;Medium;true;Google,Google
Binary Tree Level Order Traversal II;https://leetcode.com/problems/binary-tree-level-order-traversal-ii/;BFS,BFS;Medium;false;Amazon,Amazon
Subsets;https://leetcode.com/problems/subsets/;Backtracking,Backtracking;Medium;false;Facebook,Amazon,Google,Bloomberg,Goldman Sachs,Adobe,Twitter,Twitter
Letter Case Permutation;https://leetcode.com/problems/letter-case-permutation/;Backtracking,Backtracking;Medium;false;Microsoft,Microsoft
Binary Tree Level Order Traversal;https://leetcode.com/problems/binary-tree-level-order-traversal/;BFS,BFS;Medium;false;LinkedIn,Amazon,Facebook,Bloomberg,Microsoft,Apple,Oracle,Google,Google
Binary Tree Zigzag Level Order Traversal;https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/;BFS,BFS;Medium;false;Amazon,Facebook,Microsoft,Bloomberg,Google,Adobe,LinkedIn,Qualtrics,Salesforce,Salesforce
Populating Next Right Pointers in Each Node;https://leetcode.com/problems/populating-next-right-pointers-in-each-node/;BFS,BFS;Medium;false;Facebook,Microsoft,Amazon,Bloomberg,Bloomberg
Populating Next Right Pointers in Each Node II;https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/;BFS,BFS;Medium;false;Amazon,Bloomberg,Microsoft,Facebook,Facebook
Binary Tree Right Side View;https://leetcode.com/problems/binary-tree-right-side-view/;BFS,BFS,DFS,DFS;Medium;false;Facebook,Bloomberg,Amazon,Oracle,Qualtrics,Adobe,Goldman Sachs,Goldman Sachs
Maximum Binary Tree;https://leetcode.com/problems/maximum-binary-tree/;DFS,DFS;Medium;false;Amazon,Amazon
Longest Consecutive Sequence;https://leetcode.com/problems/longest-consecutive-sequence/;Arrays,Arrays;Medium;false;Microsoft,Facebook,Amazon,Google,LinkedIn,Apple,Qualtrics,Goldman Sachs,Salesforce,Salesforce
Word Search;https://leetcode.com/problems/word-search/;Backtracking,Backtracking;Medium;false;Amazon,Microsoft,Twitter,Facebook,Snapchat,Goldman Sachs,Google,Bloomberg,Apple,Adobe,Oracle,Qualtrics,Qualtrics
Rotate Image;https://leetcode.com/problems/rotate-image/;Arrays,Arrays;Medium;false;Amazon,Facebook,Microsoft,Apple,Bloomberg,Uber,Google,Google
Spiral Matrix;https://leetcode.com/problems/spiral-matrix/;Arrays,Arrays;Medium;false;Microsoft,Amazon,Facebook,Apple,Google,Oracle,Bloomberg,Intuit,Adobe,Adobe
Set Matrix Zeroes;https://leetcode.com/problems/set-matrix-zeroes/;Arrays,Arrays;Medium;false;Facebook,Microsoft,Amazon,Apple,Adobe,Bloomberg,Oracle,Oracle
Find All Duplicates in an Array;https://leetcode.com/problems/find-all-duplicates-in-an-array/;Arrays,Arrays;Medium;false;Amazon,Google,Google
Find the Duplicate Number;https://leetcode.com/problems/find-the-duplicate-number/;Arrays,Arrays,Binary Search,Arrays,Arrays,Binary Search,Two Pointers,Two Pointers;Medium;false;Google,Microsoft,Amazon,Adobe,Bloomberg,Facebook,Apple,Apple
Product of Array Except Self;https://leetcode.com/problems/product-of-array-except-self/;Arrays,Arrays;Medium;false;Facebook,Amazon,Asana,Microsoft,Apple,Lyft,Adobe,Google,Uber,Goldman Sachs,Oracle,Oracle
Path Sum II;https://leetcode.com/problems/path-sum-ii/;DFS,DFS;Medium;false;Amazon,Google,Facebook,Adobe,Apple,Apple
Number of Connected Components in an Undirected Graph;https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/;BFS,BFS,DFS,BFS,BFS,DFS,Graph,BFS,BFS,DFS,BFS,BFS,DFS,Graph,Union Find,Union Find;Medium;true;Amazon,LinkedIn,Facebook,Pinterest,Pinterest
